City,State/Region,Country,Zip Code,MMI,Responses,Distance,Latitude,Longitude
Pétionville,Ouest,Haiti,,I,1,688 km,18.52,-72.29
Coteaux,Sud,Haiti,,II,1,516 km,18.2,-74.03
Armenta,Cortés,Honduras,,II,1,1078 km,15.5,-88.05
Hayes,Clarendon,Jamaica,,II,1,233 km,17.88,-77.25
May Pen,Clarendon,Jamaica,,IV,3,226 km,17.97,-77.24
Osbourne Store,Clarendon,Jamaica,,V,1,220 km,17.97,-77.33
Green Island,Hanover,Jamaica,,VII,2,117 km,18.38,-78.58
Hopewell,Hanover,Jamaica,,III,2,138 km,18.25,-78.3
Lucea,Hanover,Jamaica,,V,7,125 km,18.44,-78.18
Sandy Bay,Hanover,Jamaica,,IV,3,128 km,18.45,-78.1
Mona,Kingston,Jamaica,,IV,10,265 km,18,-76.73
Alligator Pond,Manchester,Jamaica,,IV,1,212 km,17.87,-77.57
Mandeville,Manchester,Jamaica,,V,2,203 km,18.05,-77.48
Hope Bay,Portland,Jamaica,,III,1,267 km,18.2,-76.57
Port Antonio,Portland,Jamaica,,II,1,287 km,18.16,-76.38
Constant Spring,Saint Andrew,Jamaica,,III,15,258 km,18.05,-76.78
Gordon Town,Saint Andrew,Jamaica,,IV,2,264 km,18.05,-76.7
Half Way Tree,Saint Andrew,Jamaica,,IV,39,260 km,18,-76.79
Kingston,Saint Andrew,Jamaica,,IV,11,260 km,17.99,-76.8
Stony Hill,Saint Andrew,Jamaica,,III,1,256 km,18.08,-76.78
Bamboo,Saint Ann,Jamaica,,IV,1,195 km,18.38,-77.26
Claremont,Saint Ann,Jamaica,,IV,2,203 km,18.38,-77.17
Ocho Rios,Saint Ann,Jamaica,,III,3,206 km,18.42,-77.11
Runaway Bay,Saint Ann,Jamaica,,III,3,185 km,18.45,-77.33
Saint Annʿs Bay,Saint Ann,Jamaica,,IV,4,195 km,18.44,-77.22
Bog Walk,Saint Catherine,Jamaica,,IV,1,234 km,18.1,-77.02
Old Harbour,Saint Catherine,Jamaica,,II,1,241 km,17.92,-77.1
Portmore,Saint Catherine,Jamaica,,V,7,256 km,17.95,-76.88
Spanish Town,Saint Catherine,Jamaica,,IV,7,247 km,18,-76.95
Bull Savanna,Saint Elizabeth,Jamaica,,V,1,210 km,17.88,-77.59
Lacovia,Saint Elizabeth,Jamaica,,V,1,183 km,18.07,-77.75
Malvern,Saint Elizabeth,Jamaica,,IV,1,194 km,17.97,-77.72
